,Address,Price,Description,Amount_Reduced,Link
0,"1932 N Burling St Chicago, IL 60614","$23,500,000",House for sale,$4.4M,https://www.realtor.com//realestateandhomes-detail/1932-N-Burling-St_Chicago_IL_60614_M70589-93213?from=srp-list-card
1,"9944 S Union Ave Chicago, IL 60628","$264,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/9944-S-Union-Ave_Chicago_IL_60628_M81034-12281?from=srp-list-card
2,"4419 N Harding Ave Chicago, IL 60625","$425,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/4419-N-Harding-Ave_Chicago_IL_60625_M75922-89244?from=srp-list-card
3,"5555 N Sheridan Rd Apt 1202 Chicago, IL 60640","$449,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/5555-N-Sheridan-Rd-Apt-1202_Chicago_IL_60640_M77977-35467?from=srp-list-card
4,"444 E 88th St Chicago, IL 60619","$359,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/444-E-88th-St_Chicago_IL_60619_M80635-62393?from=srp-list-card
5,"7421 S Eberhart Ave Chicago, IL 60619","$156,475",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7421-S-Eberhart-Ave_Chicago_IL_60619_M78036-44978?from=srp-list-card
6,"8732 S Laflin St Chicago, IL 60620","$349,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/8732-S-Laflin-St_Chicago_IL_60620_M76863-93789?from=srp-list-card
7,"6351 S Evans Ave Chicago, IL 60637","$527,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/6351-S-Evans-Ave_Chicago_IL_60637_M74465-03470?from=srp-list-card
8,"8139 S Blackstone Ave Chicago, IL 60619","$129,999",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/8139-S-Blackstone-Ave_Chicago_IL_60619_M70665-99931?from=srp-list-card
9,"6133 N Kirkwood Ave Chicago, IL 60646","$769,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/6133-N-Kirkwood-Ave_Chicago_IL_60646_M95148-49405?from=srp-list-card
10,"12034 S Perry Ave Chicago, IL 60628","$80,000",Multi-family home for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/12034-S-Perry-Ave_Chicago_IL_60628_M70997-04683?from=srp-list-card
11,"1701 W 75th Pl Chicago, IL 60620","$85,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1701-W-75th-Pl_Chicago_IL_60620_M86961-03128?from=srp-list-card
12,"818 N Lorel Ave Chicago, IL 60651","$368,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/818-N-Lorel-Ave_Chicago_IL_60651_M83087-87519?from=srp-list-card
13,"8521 S Loomis Blvd Chicago, IL 60620","$89,000",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/8521-S-Loomis-Blvd_Chicago_IL_60620_M79563-78357?from=srp-list-card
14,"7150 S Wolcott Ave Chicago, IL 60636","$249,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7150-S-Wolcott-Ave_Chicago_IL_60636_M85376-11074?from=srp-list-card
15,"3541 S Damen Ave Chicago, IL 60609","$299,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/3541-S-Damen-Ave_Chicago_IL_60609_M76847-32046?from=srp-list-card
16,"549 W Belden Ave Unit Grw Chicago, IL 60614","$260,000",Condo for sale,$40k,https://www.realtor.com//realestateandhomes-detail/549-W-Belden-Ave_Chicago_IL_60614_M79129-14070?from=srp-list-card
17,"6450 W Berteau Ave Apt 211 Chicago, IL 60634","$264,900",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/6450-W-Berteau-Ave-Apt-211_Chicago_IL_60634_M70020-33949?from=srp-list-card
18,"8958 S Hamilton Ave Chicago, IL 60643","$759,900",Contingent,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/8958-S-Hamilton-Ave_Chicago_IL_60643_M81411-35164?from=srp-list-card
19,"232 W 110th Pl Chicago, IL 60628","$180,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/232-W-110th-Pl_Chicago_IL_60628_M72574-77311?from=srp-list-card
20,"10744 S Saint Louis Ave Chicago, IL 60655","$279,900",Contingent,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/10744-S-Saint-Louis-Ave_Chicago_IL_60655_M70770-96791?from=srp-list-card
21,"6856 S Calumet Ave Chicago, IL 60637","$27,000",Townhouse for sale,$3k,https://www.realtor.com//realestateandhomes-detail/6856-S-Calumet-Ave_Chicago_IL_60637_M75104-89094?from=srp-list-card
22,"451 E Grand Ave Apt Ph 65 Chicago, IL 60611","$15,170,000",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/451-E-Grand-Ave-Apt-PH65_Chicago_IL_60611_M98727-57763?from=srp-list-card
23,"3900 N Lake Shore Dr Apt 18A Chicago, IL 60613","$269,000",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/3900-N-Lake-Shore-Dr-Apt-18A_Chicago_IL_60613_M77318-40049?from=srp-list-card
24,"6726 N Loleta Ave Chicago, IL 60646","$739,900",Contingent,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/6726-N-Loleta-Ave_Chicago_IL_60646_M84431-35796?from=srp-list-card
25,"7538 S Perry Ave Chicago, IL 60620","$180,000",Contingent,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7538-S-Perry-Ave_Chicago_IL_60620_M84336-49244?from=srp-list-card
26,"4752 S Champlain Ave Chicago, IL 60615","$279,900",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/4752-S-Champlain-Ave_Chicago_IL_60615_M83156-05260?from=srp-list-card
27,"4415 S Michigan Ave Chicago, IL 60653","$839,000",House for sale,$10k,https://www.realtor.com//realestateandhomes-detail/4415-S-Michigan-Ave_Chicago_IL_60653_M92324-20382?from=srp-list-card
28,"9301 S Racine Ave Chicago, IL 60620","$295,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/9301-S-Racine-Ave_Chicago_IL_60620_M83490-06214?from=srp-list-card
29,"7744 S Constance Ave Chicago, IL 60649","$219,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7744-S-Constance-Ave_Chicago_IL_60649_M72737-84050?from=srp-list-card
30,"7017 S Eggleston Ave Chicago, IL 60621","$205,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7017-S-Eggleston-Ave_Chicago_IL_60621_M89210-01868?from=srp-list-card
31,"7324 N Bell Ave Unit 2 Chicago, IL 60645","$305,000",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7324-N-Bell-Ave-Unit-2_Chicago_IL_60645_M89718-81464?from=srp-list-card
32,"7441 S May St Chicago, IL 60621","$199,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7441-S-May-St_Chicago_IL_60621_M89970-16868?from=srp-list-card
33,"9429 S Ada St Chicago, IL 60620","$375,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/9429-S-Ada-St_Chicago_IL_60620_M83878-99263?from=srp-list-card
